 word                frequency
 approach            80
 approached          1
 approachers         2
 approaches          15
 approacheth         4
 approaching         5
 approbation         14
 approof             4
 approov             1
 appropriation       1
 approv              8
 approve             28
 approved            11
 approvers           1
 approves            5
 approximately       1
 appurtenance        1
 appurtenances       1
 apricocke           1
 apricocks           2
 april               19
 apron               4
 aprons              5
 apt                 43
 apter               3
 aptest              1
 aptly               9
 aptness             3
 aqua                7
 aquilon             1
 aquitaine           8
 ar                  7
 arabia              5
 arabian             4
 aragon              1
 araise              1
 arbitrament         1
 arbitrate           5
 arbitrating         1
 arbitrator          2
 arbitrators         1
 arbitratour         1
 arbitrement         6
 arbors              1
 arbour              4
 arc                 3
 arcas               2
 arch                17
 archbishop          77
 archbishopric       1
 archdeacon          2
 arched              2
 archelaus           1
 archer              3
 archers             3
 archery             2
 archibald           2
 archidamus          9
 architect           1
 archive             13
 arcite              207
 arcites             3
 arcu                1
 arde                1
 ardea               3
 arden               7
 ardent              1
 ardently            1
 ardour              2
 are                 3769
 argal               3
 argentine           1
 argier              2
 argo                1
 argosies            3
 argosy              5
 argu                1
 argue               6
 argued              3
 argues              11
 arguing             3
 argument            71
 arguments           11
 argus               3
 ariachne            1
 ariadne             2
 ariel               93
 aries               1
 aright              9
 arinado             1
 arinies             1
 arion               1
 arise               42
 arises              1
 ariseth             3
 arising             1
 aristotle           2
 arithmetic          6
 arithmetician       1
 ark                 1
 arm                 196
 armado              124
 armadoes            1
 armagnac            3
 armd                3
 arme                10
 armed               43
 armenia             2
 armes               11
 armies              14
 armigero            2
 arming              5
 armipotent          3
 armor               2
 armors              2
 armour              52
 armourer            8
 armourers           2
 armours             4
 armoury             3
 arms                282
 army                102
 armypotent          1
 arn                 2
 aroint              3
 arose               3
 arouse              1
 aroused             1
 arowse              1
 arowze              1
 arr                 1
 arragon             10
 arraign             6
 arraigned           1
 arraigning          1
 arraignment         2
 arrant              16
 arras               14
 array               17
 arrearages          1
 arrest              29
 arrested            12
 arrests             2
 arriv               22
 arrival             7
 arrivance           1
 arrive              6
 arrived             6
 arrives             2
 arriving            1
 arrogance           6
 arrogancy           1
 arrogant            4
 arrow               10
 arrows              13
 arse                1
 art                 1007
 artemidorus         8
 arteries            1
 artery              1
 artesius            3
 arthur              74
 article             19
 articles            19
 articulate          2
 artificer           1
 artificial          7
 artillery           5
 artist              2
 artists             1
 artless             1
 artois              1
 arts                15
 artus               1
 arviragus           63
 as                  6207
 asaph               1
 ascanius            1
 ascend              12
 ascended            2
 ascendeth           1
 ascends             5
 ascension           5
 ascent              1
 ascii               2
 ascribe             3
 ascribes            1
 ash                 2
 asham               24
 ashamed             12
 asher               1
 ashes               24
 ashford             2
 ashore              13
 ashy                4
 asia                4
 aside               467
 asinico             1
 ask                 203
 askance             3
 askaunce            1
 aske                9
 asked               8
 asker               1
 asketh              2
 asking              12
 asks                4
 aslant              1
 asleep              62
 asmath              1
 asp                 3
 aspect              28
 aspects             4
 aspen               2
 aspersion           1
 aspic               3
 aspicious           1
 aspics              1
 aspir               2
 aspiration          1
 aspire              8
 aspiring            8
 asprayes            1
 asquint             1
 ass                 94
 assail              11
 assailable          1
 assailant           1
 assailants          1
 assailed            4
 assaileth           1
 assailing           2
 assails             3
 assassination       1
 assault             17
 assaulted           2
 assaults            4
 assay               19
 assaying            1
 assays              4
 assemblance         1
 assemble            7
 assembled           10
 assemblies          2
 assembly            15
 assent              2
 asses               9
 assez               1
 assign              8
 assigns             2
 assist              22
 assistance          15
 assistances         1
 assistant           4
 assistants          4
 assisted            3
 assisting           1
 associate           1
 associated          9
 associates          1
 assuag              1
 assuage             4
 assubjugate         1
 assum               1
 assume              14
 assumes             2
 assuming            1
 assumption          1
 assur               37
 assurance           31
 assurd              1
 assure              57
 assured             19
 assuredly           4
 assures             1
 assyrian            2
 astonish            7
 astonished          1
 astraea             1
 astray              2
 astrea              1
 astronomer          1
 astronomers         1
 astronomical        1
 astronomy           1
 asunder             17
 at                  2760
 atalanta            2
 atcheev             1
 ate                 3
 atendants           1
 ates                2
 athenian            38
 athenians           5
 athens              89
 athol               1
 athversary          3
 athwart             7
 atlas               2
 atomies             3
 atomy               1
 atone               7
 atonement           2
 atonements          1
 atropos             1
 attach              16
 attached            2
 attachment          1
 attain              14
 attainder           4
 attains             1
 attaint             9
 attainted           4
 attainture          1
 attask              1
 attempt             36
 attemptable         1
 attempted           2
 attempting          2
 attempts            7
 attend              128
 attendance          9
 attendant           36
 attendants          155
 attended            46
 attendents          1
 attendeth           2
 attending           54
 attends             22
 attent              2
 attention           9
 attentive           6
 attentivenes        1
 attest              4
 attested            1
 attir               4
 attire              12
 attired             4
 attires             3
 attorney            9
 attorneyed          1
 attorneys           3
 attorneyship        1
 attract             1
 attraction          2
 attractions         1
 attractive          2
 attracts            2
 attribute           5
 attributed          1
 attributes          3
 attribution         1
 attributive         1
 au                  2
 aubrey              1
 auburn              1
 aucun               1
 audacious           7
 audaciously         2
 audacity            4
 audible             2
 audience            34
 audis               1
 audit               9
 auditor             2
 auditors            1
 auditory            1
 audre               1
 audrey              32
 aufidius            97
 aufidiuses          1
 auger               2
 aught               79
 augment             4
 augmentation        1
 augmented           3
 augmenting          3
 augur               1
 augurer             2
 augurers            3
 auguring            1
 augurs              2
 augury              2
 august              2
 augustus            5
 auld                1
 aulis               1
 aumerle             71
 auncient            1
 aunt                26
 aunts               2
 auricular           1
 aurora              2
 auspicious          7
 auspiciously        1
 aussi               2
 austere             4
 austerely           2
 austereness         1
 austerity           3
 austria             26
 aut                 1
 authentic           4
 author              18
 authoris            1
 authorities         6
 authority           58
 authoriz            1
 authorizing         1
 authors             7
 authorship          4
 authours            1
 autolycus           76
 autre               1
 autumn              9
 auvergne            3
 avail               4
 available           2
 avails              3
 avarice             2
 avaricious          1
 avaunt              17
 ave                 4
 aveng               4
 avenge              1
 avenged             1
 avenue              2
 averring            1
 avert               1
 aves                1
 avez                4
 avis                3
 avoid               38
 avoided             8
 avoiding            1
 avoids              1
 avoirdupois         1
 avouch              11
 avouched            2
 avouches            2
 avouchment          1
 avow                2
 aw                  2
 await               2
 awaits              1
 awak                17
 awake               82
 awaken              2
 awakens             1
 awakes              5
 awaketh             1
